text:Aflatoxin	sent:0	aflatoxin	[aflatoxin|NP]
text:abnormal smell	sent:0	abnormal smell	[smell|NP][abnormal|ADJP]
text:alcohol content	sent:0	alcohol content	[alcohol content|NP][content|NP][alcohol|NP][alcohol content|NP]
text:alkaloids	sent:0	alkaloids	[alkaloids|NP][alkaloid|NP]
text:allergens	sent:0	allergens	[allergens|NP]
text:almond	sent:0	almond	[almond|ADJP]
text:altered organoleptic characteristics	sent:0	altered organoleptic characteristics	[altered|ADJP][organoleptic|NP][characteristics|NP]
text:amygdalin	sent:0	amygdalin	[amygdalin|NP]
text:antibiotics, vet drugs	sent:0	antibiotics, vet drugs	[drug|NP][drugs|NP][antibiotic|NP][vet|NP][antibiotics|NP]
text:bacillus spp.	sent:0	bacillus spp.	[bacillus|ADJP]
text:bad smell / off odor	sent:0	bad smell / off odor	[bad|ADJP][smell bad|NP][odor|NP][bad smell|NP][smell|NP]
text:bone fragment	sent:0	bone fragment	[bone fragment|NP][bone fragment|NP][fragment|NP][bone|NP]
text:brazil nut	sent:0	brazil nut	[nut|NP][brazil|ADJP][brazil nut|NP]
text:bulging packaging	sent:0	bulging packaging	[bulging|VP][bulge|VP]
text:cashew	sent:0	cashew	[cashew|NP]
text:celery and products thereof	sent:0	celery and products thereof	[products|NP][product|NP][celery|NP]
text:cereals containing gluten and products thereof	sent:0	cereals containing gluten and products thereof	[containing|VP][contain|VP][cereals|NP][products|NP][gluten|NP][product|NP][cereal|NP]
text:cereals	sent:0	cereals	[cereal|NP][cereals|NP]
text:chemical compound (high content)	sent:0	chemical compound (high content)	[chemical compound|NP][content|NP][high|ADJP][chemical compound|NP][chemical|NP][compound|NP]
text:chemical compound (unauthorised)	sent:0	chemical compound (unauthorised)	[chemical compound|NP][unauthorised|ADJP][chemical compound|NP][chemical|NP][compound|NP]
text:chemical	sent:0	chemical	[chemical|NP]
text:chlorine	sent:0	chlorine	[chlorine|NP]
text:clostridium botulinum	sent:0	clostridium botulinum	[clostridium botulinum|NP][clostridium botulinum|NP][clostridium|NP][botulinum|NP]
text:coconut	sent:0	coconut	[coconut|NP]
text:coliforms	sent:0	coliforms	[coliform|NP][coliforms|NP]
text:compositional deviation	sent:0	compositional deviation	[compositional|ADJP][deviation|NP]
text:contaminant	sent:0	contaminant	[contaminant|NP]
text:cronobacter spp	sent:0	cronobacter spp	[cronobacter|NP]
text:crustaceans and products thereof	sent:0	crustaceans and products thereof	[crustaceans|NP][products|NP][product|NP]
text:dairy products	sent:0	dairy products	[dairy product|NP][dairy products|NP][products|NP][dairy|NP][dairy products|NP][dairy product|NP][product|NP]
text:damaged packaging	sent:0	damaged packaging	[damage|ADJP][damaged|ADJP]
text:dioxins	sent:0	dioxins	[dioxins|NP][dioxin|NP]
text:e 425 - konjac unauthorised	sent:0	e 425 - konjac unauthorised	[konjac|ADJP][unauthorised|NP]
text:eggs and products thereof	sent:0	eggs and products thereof	[egg|NP][products|NP][product|NP][eggs|NP]
text:enteroviruses	sent:0	enteroviruses	[enteroviruses|NP][enterovirus|NP]
text:escherichia coli	sent:0	escherichia coli	[escherichia|ADJP][escherichia coli|NP]
text:false marketing claims	sent:0	false marketing claims	[claim|NP][claims|NP][false|ADJP]
text:fish and products thereof	sent:0	fish and products thereof	[fish|NP][product|NP][products|NP]
text:foreign bodies	sent:0	foreign bodies	[foreign bodies|NP][body|NP][foreign body|NP][bodies|NP][foreign|ADJP]
text:glass fragment	sent:0	glass fragment	[fragment|NP]
text:haloxyfop	sent:0	haloxyfop	[haloxyfop|NP]
text:hazelnut	sent:0	hazelnut	[hazelnut|NP]
text:heavy metals	sent:0	heavy metals	[heavy metal|NP][metal|NP][heavy metals|NP][metals|NP][heavy|ADJP]
text:high content of copper	sent:0	high content of copper	[copper|NP][content|NP][high|ADJP]
text:high content of cyanide	sent:0	high content of cyanide	[cyanide|NP][content|NP][high|ADJP]
text:high content of vitamins	sent:0	high content of vitamins	[high|ADJP][content|NP][vitamin|NP][vitamins|NP]
