text: Vilis Lamb, Mint and Rosemary Pies 160g 	sent:0	vilis lamb, mint and rosemary pies 160g	[pie|NP][pies|NP][mint|NP][rosemary|NP][lamb|NP]
text:'Jackpot Mix' brand of Mix of Pretzels, Sticks and Salted Biscuits recalled	sent:0	'jackpot mix' brand of mix of pretzels, sticks and salted biscuits recalled	[sticks|ADJP][salt|ADJP][salted|ADJP][brand|NP][jackpot|ADJP][recall|VP][pretzels|ADJP][pretzel|ADJP][stick|ADJP][recalled|VP][biscuit|NP][biscuits|NP][mix|NP]
text:(Updated) Bradbury &amp  Son (Buxton) recalls Lo-Col because milk is not emphasised on the labelling	sent:0	(updated) bradbury &amp  son (buxton) recalls lo-col because milk is not emphasised on the labelling	[recall|VP][amp|NP][bradbury|NP][son|NP][emphasised|VP][update|ADJP][milk|NP][emphasise|VP][updated|ADJP][buxton|NP][recalls|VP]
text:*(Updated on 2 June 2020) Not to consume a batch of bottled apple juice drink contaminated with patulin	sent:0	*(updated on 2 june 2020) not to consume a batch of bottled apple juice drink contaminated with patulin	[consume|VP][patulin|NP][2|NP][batch|NP][apple|NP][contaminate|VP][bottled|ADJP][contaminated|VP][june|NP][drink|NP][juice|NP]
text:*(Updated on 5 July 2022) Not to consume smoked salmon products with dill possibly contaminated with Listeria monocytogenes	sent:0	*(updated on 5 july 2022) not to consume smoked salmon products with dill possibly contaminated with listeria monocytogenes	[consume|VP][smoked|ADJP][listeria|NP][listeria monocytogenes|NP][product|NP][contaminate|VP][july|NP][dill|NP][products|NP][salmon|NP][contaminated|VP][smoke|ADJP][5|NP][listeria monocytogenes|NP]
text:165368 C. Corporation Recalls Pork Products Due to Possible Listeria Contamination	sent:0	165368 c. corporation recalls pork products due to possible listeria contamination	[listeria|NP][pork|NP][recall|VP][due|ADJP][possible|ADJP][corporation|NP][products|NP][contamination|NP][product|NP][recalls|VP]
text:168 Express Ltd recalls various Jelly products because of a choking hazard	sent:0	168 express ltd recalls various jelly products because of a choking hazard	[hazard|NP][jelly|NP][ltd|NP][recall|VP][various|ADJP][choke|ADJP][products|NP][express|ADJP][product|NP][choking|ADJP][recalls|VP]
text:2006 - Consumer Alert: Listeria Contamination in Raw Milk	sent:0	2006 - consumer alert: listeria contamination in raw milk	[listeria|NP][raw milk|NP][milk|NP][consumer|NP][contamination|NP][raw|ADJP][alert|ADJP]
text:2006 - Pinnacle Foods Corporation Issues Allergy Alert on Bakery-Style Chocolate Chip Muffin Mix	sent:0	2006 - pinnacle foods corporation issues allergy alert on bakery-style chocolate chip muffin mix	[issues|NP][allergy|NP][corporation|NP][muffin|NP][alert|NP][chip|NP][foods|NP][issue|NP][chocolate|NP][pinnacle|ADJP][mix|NP]
text:2006 - Pinnacle Foods Group Inc. Issues Allergy Alert on Undeclared Egg in Frozen	sent:0	2006 - pinnacle foods group inc. issues allergy alert on undeclared egg in frozen	[issues|NP][frozen|ADJP][allergy|NP][group|NP][egg|NP][alert|NP][foods|NP][issue|NP][undeclared|ADJP][pinnacle|ADJP]
text:2006 - allergy alert on undeclared almonds in albertsons chocolate ice cream	sent:0	2006 - allergy alert on undeclared almonds in albertsons chocolate ice cream	[cream|NP][allergy|NP][chocolate ice cream|NP][alert|NP][almonds|NP][almond|NP][chocolate|NP][undeclared|ADJP][ice|NP]
text:2006 - pinnacle foods group inc. issues allergy alert on brownie mix	sent:0	2006 - pinnacle foods group inc. issues allergy alert on brownie mix	[issues|NP][allergy|NP][group|NP][brownie mix|NP][brownie|ADJP][alert|NP][foods|NP][issue|NP][pinnacle|ADJP][mix|NP]
text:2007 - Agriculture Department Warns Consumers of Tainted Raw Milk Sold by Butler County Dairy	sent:0	2007 - agriculture department warns consumers of tainted raw milk sold by butler county dairy	[warns|VP][tainted|ADJP][butler|NP][consumers|NP][milk|NP][warn|VP][consumer|NP][department|NP][taint|ADJP][sell|VP][county|NP][agriculture|NP][raw|ADJP][agriculture department|NP][sold|VP][agriculture department|NP][dairy|NP]
text:2007 - WholeSoy & Co. Expands National Allergy Alert on Undeclared Dairy in Blueberry and Mixed Berry Yogurt	sent:0	2007 - wholesoy & co. expands national allergy alert on undeclared dairy in blueberry and mixed berry yogurt	[berry|ADJP][allergy|NP][expands|VP][national|ADJP][blueberry|ADJP][alert|NP][mixed|VP][yogurt|NP][undeclared|ADJP][expand|VP][dairy|NP]
text:2007 - Winn-Dixie Stores, Inc. Issues Allergy Alert on Mislabeled Prestige Chocolate Ice Cream	sent:0	2007 - winn-dixie stores, inc. issues allergy alert on mislabeled prestige chocolate ice cream	[issues|NP][cream|NP][allergy|NP][store|NP][alert|NP][stores|NP][issue|NP][prestige|NP][chocolate|NP][ice|NP]
text:2007 - private selection® ice cream recalled from ralphs and food 4 less stores in california	sent:0	2007 - private selection® ice cream recalled from ralphs and food 4 less stores in california	[private|ADJP][cream|NP][recall|VP][food|NP][selection|NP][store|NP][recalled|VP][ice cream|NP][stores|NP][california|NP][ice|NP]
text:2008 - Barry Callebaut USA LLC Issues Allergen Alert on Undeclared Milk Protein in Kroger Value Semi Sweet Chocolate Chips	sent:0	2008 - barry callebaut usa llc issues allergen alert on undeclared milk protein in kroger value semi sweet chocolate chips	[issues|NP][sweet|ADJP][kroger|NP][chip|NP][milk|NP][llc|NP][allergen|NP][milk protein|NP][alert|ADJP][usa|NP][chips|NP][value|NP][semi|NP][issue|NP][protein|NP][chocolate|NP][undeclared|ADJP][chocolate chip|NP][chocolate chips|NP]
text:2008 - dreyer's issues voluntary recall of slow churned® light caramel delight and butter pecan ice cream flavors for undeclared pecans	sent:0	2008 - dreyer's issues voluntary recall of slow churned® light caramel delight and butter pecan ice cream flavors for undeclared pecans	[cream|NP][churn|ADJP][issues|NP][recall|NP][®|ADJP][pecan|NP][pecans|NP][voluntary recall|NP][ice|NP][flavor|NP][dreyer|NP][slow|ADJP][butter|NP][voluntary|ADJP][delight|NP][light|ADJP][churned|ADJP][caramel|ADJP][flavors|NP][issue|NP][undeclared|ADJP]
text:2008 - limited number of aunt jemima pancake & waffle mix products recalled for possible health risk	sent:0	2008 - limited number of aunt jemima pancake & waffle mix products recalled for possible health risk	[recall|VP][possible|ADJP][health|NP][risk|NP][limited|ADJP][pancake|NP][products|NP][recalled|VP][waffle|NP][jemima|NP][product|NP][aunt|NP][mix|NP]
