text:Catfishes (freshwater)	sent:0	catfishes (freshwater)	[catfish|NP][freshwater|NP][catfishes|NP]
text:Dried pork meat	sent:0	dried pork meat	[meat|NP][dried|VP][dry|VP][pork meat|NP]
text:Fishes not identified	sent:0	fishes not identified	[identify|VP][fishes|NP][identified|VP]
text:Groupers (generic)	sent:0	groupers (generic)	[groupers|NP][generic|ADJP][grouper|NP]
text:Not classified pork meat	sent:0	not classified pork meat	[meat|NP][pork meat|NP][pork|NP]
text:Pangas catfishes (generic)	sent:0	pangas catfishes (generic)	[catfish|NP][generic|ADJP][pangas|VP][catfishes|NP]
text:Precooked cooked pork meat products	sent:0	precooked cooked pork meat products	[cook|ADJP][product|NP][cooked|ADJP][products|NP][meat|NP][pork|NP]
text:Torpedo-shaped catfishes (generic)	sent:0	torpedo-shaped catfishes (generic)	[catfishes|NP][generic|ADJP][catfish|NP]
text:Veggie Burger	sent:0	veggie burger	[burger|NP][veggie|ADJP][veggie burger|NP]
text:adobo seasoning	sent:0	adobo seasoning	[adobo|ADJP]
text:after dinner mints	sent:0	after dinner mints	[mints|NP][dinner|NP][mint|NP]
text:alcoholic beverages	sent:0	alcoholic beverages	[beverage|NP][alcoholic beverages|NP][alcoholic|ADJP][alcoholic beverage|NP][beverages|NP]
text:alfalfa sprouts	sent:0	alfalfa sprouts	[sprouts|NP][alfalfa|NP][sprout|NP]
text:all purpose seasoning	sent:0	all purpose seasoning	[purpose|NP]
text:allspice	sent:0	allspice	[allspice|NP]
text:almond kernels	sent:0	almond kernels	[almond|ADJP][kernel|NP][kernels|NP]
text:almond milk	sent:0	almond milk	[almond|ADJP][milk|NP][almond milk|NP]
text:almond powder	sent:0	almond powder	[almond|ADJP][powder|NP][almond powder|NP]
text:almond products	sent:0	almond products	[almond|ADJP][products|NP][product|NP]
text:almonds	sent:0	almonds	[almonds|NP][almond|NP]
text:amaranth	sent:0	amaranth	[amaranth|VP]
text:anchovies in oil	sent:0	anchovies in oil	[oil|NP][anchovy|NP][anchovies|NP]
text:anchovy paste	sent:0	anchovy paste	[paste|VP]
text:angus beef	sent:0	angus beef	[angus|ADJP][beef|NP]
text:animal by-products	sent:0	animal by-products	[animal|NP]
text:appetizers	sent:0	appetizers	[appetizers|NP][appetizer|NP]
text:apple cake	sent:0	apple cake	[apple cake|NP][apple cake|NP][apple|NP][cake|NP]
text:apple juice	sent:0	apple juice	[juice|NP][apple juice|NP][apple|NP][apple juice|NP]
text:apples	sent:0	apples	[apple|NP][apples|NP]
text:apricot kernels	sent:0	apricot kernels	[kernel|NP][apricot|ADJP][kernels|NP]
text:apricots	sent:0	apricots	[apricot|NP][apricots|NP]
text:assorted bread roll selection	sent:0	assorted bread roll selection	[bread|NP][assorted|ADJP][roll|NP][selection|NP]
text:assortment of filled chocolates	sent:0	assortment of filled chocolates	[assortment|NP][chocolate|NP][filled|ADJP][fill|ADJP][chocolates|NP]
text:baby food pouches	sent:0	baby food pouches	[pouch|NP][food|NP][pouches|NP][baby|ADJP]
text:baby food	sent:0	baby food	[food baby|NP][baby food|NP][baby food|NP][food baby|NP][food|NP][baby|NP]
text:baby foods	sent:0	baby foods	[baby foods|NP][baby food|NP][foods|NP][baby food|NP][baby foods|NP][baby|NP]
text:baby spinach	sent:0	baby spinach	[spinach|NP][baby|NP]
text:bagels	sent:0	bagels	[bagel|NP][bagels|NP]
text:baguettes	sent:0	baguettes	[baguette|NP][baguettes|NP]
text:bakery products	sent:0	bakery products	[products|NP][bakery|NP][product|NP]
text:baking mix	sent:0	baking mix	[mix|NP][baking mix|NP][baking|ADJP]
text:baklava	sent:0	baklava	[baklava|NP]
text:balsamic	sent:0	balsamic	[balsamic|ADJP]
text:bamboo shoots	sent:0	bamboo shoots	[bamboo shoot|NP][shoots|NP][bamboo|ADJP][bamboo shoots|NP][shoot|NP]
text:bamboo	sent:0	bamboo	[bamboo|NP]
text:bananas	sent:0	bananas	[bananas|NP]
text:barbecue sauce	sent:0	barbecue sauce	[sauce|NP][barbecue sauce|NP][barbecue|NP][barbecue sauce|NP]
text:bars	sent:0	bars	[bar|NP][bars|NP]
text:basil pesto sauce	sent:0	basil pesto sauce	[basil|VP][pesto sauce|NP][pesto|NP][pesto sauce|NP][sauce|NP]
text:basil	sent:0	basil	[basil|NP]
text:batter mix	sent:0	batter mix	[mix|NP][batter|VP][mix batter|VP]
text:bean paste	sent:0	bean paste	[paste|NP][bean|NP]
text:bean sauce	sent:0	bean sauce	[sauce|NP][bean|NP]
text:bean snack	sent:0	bean snack	[snack|NP][bean|NP]
text:bean sprouts	sent:0	bean sprouts	[bean sprouts|NP][bean sprout|NP][sprouts|NP][sprout|NP][bean sprout|NP][bean|NP][bean sprouts|NP]
text:beans	sent:0	beans	[bean|NP][beans|NP]
text:beef burrito	sent:0	beef burrito	[beef burrito|NP][beef|NP][beef burrito|NP][burrito|NP]
text:beef meat	sent:0	beef meat	[beef|NP][meat|NP]
text:beef products	sent:0	beef products	[beef products|NP][product|NP][beef products|NP][products|NP][beef|NP]
text:beef stewed	sent:0	beef stewed	[beef|NP][stewed|VP][stew|VP]
text:beef tallow	sent:0	beef tallow	[tallow|NP][beef tallow|NP][beef|NP][beef tallow|NP]
text:beef tenderloin cuts	sent:0	beef tenderloin cuts	[cuts|NP][beef|VP][tenderloin|NP][cut|NP]
text:beef tongue	sent:0	beef tongue	[tongue|NP][beef tongue|NP][beef tongue|NP][beef|NP]
