text:alcoholic beverages	sent:0	alcoholic beverages	[alcoholic beverage|NP][beverage|NP][alcoholic|ADJP][alcoholic beverages|NP][beverages|NP]
text:cereals and bakery products	sent:0	cereals and bakery products	[cereal|NP][products|NP][cereals|NP][product|NP][bakery|NP]
text:cocoa and cocoa preparations, coffee and tea	sent:0	cocoa and cocoa preparations, coffee and tea	[coffee|NP][cocoa|NP][preparation|NP][tea|NP][preparations|NP]
text:dietetic foods, food supplements, fortified foods	sent:0	dietetic foods, food supplements, fortified foods	[supplement|NP][fortified|VP][food supplement|NP][fortified foods|VP][food supplement|NP][food supplements|NP][dietetic|ADJP][food|NP][supplements|NP][food supplements|NP][foods|NP]
text:fats and oils	sent:0	fats and oils	[fat|NP][oil|NP][oils|NP][fats|NP][fats and oils|NP]
text:feed materials	sent:0	feed materials	[materials|NP][material|NP]
text:food additives and flavourings	sent:0	food additives and flavourings	[additive|NP][flavourings|NP][food additives|NP][food additives|NP][additives|NP][food|NP][food additive|NP][food additive|NP]
text:food contact materials	sent:0	food contact materials	[materials|NP][contact|NP][material|NP][food|NP]
text:fruits and vegetables	sent:0	fruits and vegetables	[fruits|NP][vegetable|NP][vegetables|NP][fruit|NP][fruits and vegetables|NP][vegetables and fruits|NP]
text:herbs and spices	sent:0	herbs and spices	[herbs|NP][spices and herbs|NP][spice|NP][spices|NP]
text:honey and royal jelly	sent:0	honey and royal jelly	[royal|ADJP][royal jelly|ADJP][honey|NP]
text:ices and desserts	sent:0	ices and desserts	[ices|NP][dessert|NP][desserts|NP][ice|NP]
text:meat, egg and dairy products	sent:0	meat, egg and dairy products	[dairy product|NP][dairy products|NP][products|NP][egg|NP][dairy|NP][meat|NP][product|NP]
text:non-alcoholic beverages	sent:0	non-alcoholic beverages	[beverage|NP][beverages|NP]
text:nuts, nut products and seeds	sent:0	nuts, nut products and seeds	[nut|NP][nuts|NP][products|NP][seeds|NP][product|NP][seed|NP]
text:other food product / mixed	sent:0	other food product / mixed	[food|NP][food product|NP][mixed|VP][product|NP]
text:pet feed	sent:0	pet feed	[pet|ADJP]
text:prepared dishes and snacks	sent:0	prepared dishes and snacks	[dishes|NP][dish|NP][snack|NP][prepared|VP][prepare|VP][snacks|NP]
text:seafood	sent:0	seafood	[seafood|NP]
text:soups, broths, sauces and condiments	sent:0	soups, broths, sauces and condiments	[broth|NP][broths|NP][condiment|NP][soups|NP][soup|NP][condiments|NP][sauces|NP][sauce|NP]
text:sugars and syrups	sent:0	sugars and syrups	[syrup|NP][sugars|NP][syrups|NP]
